"Date";"Sc";"Ec";"IAc1";"IAc2";"IAc3";"ISc1";"ISc2";"ISc3";"Cc1";"Cc2";"Cc3";"Cc4";"Dc";"Rc";"StCare";"EMuc";"IAMuc1";"IAMuc2";"IAMuc3";"ISMuc1";"ISMuc2";"ISMuc3";"Vac0";"Vac1";"EVac";"IAVac1";"IAVac2";"IAVac3";"ISVac1";"ISVac2";"ISVac3";"EVaMuc";"IAVaMuc1";"IAVaMuc2";"IAVaMuc3";"ISVaMuc1";"ISVaMuc2";"ISVaMuc3";"CVac1";"CVac2";"CVac3";"CVac4";"DVac";"SumIsc";"vr1";"vr2";"pcrit";"pdeath";"criticalallcomp";"simulatedcumuldeath";"simulateddailydeath";"ReportedCumlPosCases";"ReportedDailyPosCases";"procentmeasdyn";"dailyvaccination";"dailytests"
2020-03-04;544879,155340438;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,331282747;0,000436918769607385;0,0122549464384989;0;0;0;0;0;0,185363830196972;0;128008
2020-03-05;544877,557442409;1,59789802925793;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,331282747;0,000436918769607385;0,0122549464384989;0;0;0;0;0;0,185363830196972;0;128008
2020-03-06;544875,959544379;2,75607995491495;0,439716103600919;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,331282747;0,000436918769607385;0,0122549464384989;0;0;0;0;0;0,185363830196972;0;128008
2020-03-07;544870,20287391;7,75432109007545;0,963900262454222;0,11712258784176;0;0,11712258784176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,331282747;0,000436918769607385;0,0122549464384989;0;0;0;0;0;0,185363830196972;0;128008
2020-03-08;544858,013955793;17,8093734694545;2,58427790000536;0,298557616538771;0,0753090210102351;0,266419121584562;0,107436005617572;0;1,15103468715594e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0640539554754618;1;0,331282747;0,000436918769607385;0,0122549464384989;1,15103468715594e-05;0;0;0;0;0,185363830196972;0;128008
2020-03-09;544836,502946659;34,4195264999283;6,10843975529348;0,79493424010133;0,218856337381684;0,71035504078611;0,253243547481442;0,0985758703899823;3,72608412940055e-05;4,26832362427022e-07;0;5,29570633727845e-09;1,61006019570737e-06;0,0484231842040793;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,204466426131903;1;0,331282747;0,000436918769607385;0,0122549464384989;3,76929693627698e-05;0;0;3,34589376795154e-05;3,34589376795154e-05;0,185363830196972;0;128008
2020-03-10;544812,235002247;49,2157650818921;12,3260629358884;1,91083829862106;0,589270479340878;1,68572117661255;0,672486314078333;0,240471974145764;0,000105672870383581;1,7925328792306e-06;1,60243862778312e-08;0;5,4581821414286e-06;0,279609021433111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,580921189074584;0,689367573064764;0,228375583297618;0,000436918769607385;0,0122549464384989;0,00010748142764909;2,12465623891609e-12;2,12465623891609e-12;0,000670129132516635;0,00063667019483712;0,185363830196972;0;128008
2020-03-11;544791,480334393;56,4270377618412;19,3031287114837;3,9653470720436;1,43902952669976;3,42241600702392;1,60175336887122;0,636818800058438;0,000267371679922;5,64385010134698e-06;8,2719090857056e-08;4,86182124321092e-08;1,55362136191588e-05;0,879186143586148;6,0159673488921e-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,4707447022594;0,378735146129528;0,125468419595236;0,000436918769607385;0,0122549464384989;0,000273146867326636;1,39376663780611e-11;1,1813010139145e-11;0,00343332657852537;0,00276319744600874;0,185363830196972;0;128008
2020-03-12;544762,443634863;69,9359146599408;24,5478056064421;6,55722895897996;3,06343438836377;5,42428623298478;3,2714372249747;1,5220709763342;0,000593675430970801;1,53467740000573e-05;2,91498272798661e-07;0;4,00266327563453e-05;2,38887852796239;3,64692492593227e-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,26629660499278;0,378735146129528;0,125468419595236;0,000436918769607385;0,0122549464384989;0,000609313703243657;6,33895103792258e-11;4,94518440011647e-11;0,0118486214810029;0,00841529490247751;0,185363830196972;0;128008
2020-03-13;544724,047187276;89,0871117156716;30,7159707411075;8,87951839173252;5,30992034442429;6,98662329605562;5,24541554388679;3,12691726655684;0,00110446482404516;3,67855818534916e-05;8,56712101480866e-07;2,73139530646714e-07;8,90531283749208e-05;5,75544475963411;1,42258292197062e-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,07820578206642;0,378735146129528;0,125468419595236;0,000436918769607385;0,0122549464384989;0,00114238025753078;2,41903715110281e-10;1,78514204731056e-10;0,0339243531856083;0,0220757317046055;0,185363830196972;0;128008
