DateRep	CountryExp	Altersgruppe	Ntotal	NewConfCases	NewDeaths	AllConfCases	AllDeaths	covid_inICU_upscaled	CountryExp2	NewConfCases7	NewDeaths7	covid_inICU_upscaled7	NewVaccinations	NewVaccinations_voll	NewVaccinations_1booster	NewVaccinations7	NewVaccinations_voll7	NewVaccinations_1booster7	AllVaccinations	AllVaccinations_voll	AllVaccinations_1booster	AllVaccinations_rel	AllVaccinations_vollrel	AllVaccinations_1boosterrel
2020-03-04	Sachsen	all	4056941	1	0	1	0	NA	Sachsen	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-05	Sachsen	all	4056941	0	0	1	0	NA	Sachsen	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-06	Sachsen	all	4056941	0	0	1	0	NA	Sachsen	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-09	Sachsen	all	4056941	3	0	4	0	NA	Sachsen	4.28571428571429	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-10	Sachsen	all	4056941	1	0	5	0	NA	Sachsen	6.42857142857143	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-11	Sachsen	all	4056941	12	0	17	0	NA	Sachsen	12.1428571428571	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-12	Sachsen	all	4056941	13	0	30	0	NA	Sachsen	12.8571428571429	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-13	Sachsen	all	4056941	16	0	46	0	NA	Sachsen	14.1428571428571	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-14	Sachsen	all	4056941	40	0	86	0	NA	Sachsen	25.2857142857143	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-15	Sachsen	all	4056941	5	0	91	0	NA	Sachsen	25.8571428571429	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-16	Sachsen	all	4056941	12	0	103	0	NA	Sachsen	35	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-17	Sachsen	all	4056941	79	0	182	0	NA	Sachsen	49.7142857142857	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-18	Sachsen	all	4056941	16	0	198	0	NA	Sachsen	68.7142857142857	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-19	Sachsen	all	4056941	77	0	275	0	NA	Sachsen	102.857142857143	0.142857142857143	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-20	Sachsen	all	4056941	119	0	394	0	NA	Sachsen	122.285714285714	0.857142857142857	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-21	Sachsen	all	4056941	173	0	567	0	NA	Sachsen	137	1	12	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-24	Sachsen	all	4056941	244	1	811	1	NA	Sachsen	158.142857142857	1	13	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-24	Sachsen	A00-A14	545787	NA	NA	22	0	NA	Sachsen	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-24	Sachsen	A15-A34	786243	NA	NA	217	0	NA	Sachsen	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-24	Sachsen	A35-A59	1351804	NA	NA	414	0	NA	Sachsen	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-24	Sachsen	A60-A79	1011120	NA	NA	144	0	NA	Sachsen	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-24	Sachsen	A80+	361987	NA	NA	14	1	NA	Sachsen	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-25	Sachsen	all	4056941	148	5	959	6	NA	Sachsen	165.285714285714	1.28571428571429	13.6666666666667	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-25	Sachsen	A00-A14	545787	4	0	26	0	NA	Sachsen	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-25	Sachsen	A15-A34	786243	33	0	250	0	NA	Sachsen	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-25	Sachsen	A35-A59	1351804	72	0	486	0	NA	Sachsen	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-25	Sachsen	A60-A79	1011120	30	2	174	2	NA	Sachsen	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-25	Sachsen	A80+	361987	9	3	23	4	NA	Sachsen	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-25	Sachsen	unbekannt	NA	0	0	NA	NA	NA	Sachsen	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-26	Sachsen	all	4056941	182	1	1141	7	12	Sachsen	174.714285714286	1.28571428571429	14.75	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-26	Sachsen	A00-A14	545787	0	0	26	0	0.16438356	Sachsen	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-26	Sachsen	A15-A34	786243	0	0	250	0	0.8219178	Sachsen	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-26	Sachsen	A35-A59	1351804	0	0	486	0	4.43835612	Sachsen	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-26	Sachsen	A60-A79	1011120	0	0	174	2	4.9315068	Sachsen	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-26	Sachsen	A80+	361987	0	0	23	4	1.6438356	Sachsen	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-26	Sachsen	unbekannt	NA	0	0	NA	NA	NA	Sachsen	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-27	Sachsen	all	4056941	164	0	1305	7	14	Sachsen	175.428571428571	1.28571428571429	15.6	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-27	Sachsen	A00-A14	545787	10	0	36	0	0.19178082	Sachsen	NA	NA	0.213698628	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-27	Sachsen	A15-A34	786243	91	0	341	0	0.9589041	Sachsen	NA	NA	1.06849314	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-27	Sachsen	A35-A59	1351804	157	0	643	0	5.17808214	Sachsen	NA	NA	5.769862956	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-27	Sachsen	A60-A79	1011120	72	0	246	2	5.7534246	Sachsen	NA	NA	6.41095884	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-27	Sachsen	A80+	361987	16	1	39	5	1.9178082	Sachsen	NA	NA	2.13698628	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-27	Sachsen	unbekannt	NA	0	0	NA	NA	NA	Sachsen	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-28	Sachsen	all	4056941	127	2	1432	9	15	Sachsen	153	1.57142857142857	18	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-28	Sachsen	A00-A14	545787	4	0	40	0	0.20547945	Sachsen	5.28571428571429	0	0.24657534	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-28	Sachsen	A15-A34	786243	25	0	366	0	1.02739725	Sachsen	35.7142857142857	0	1.2328767	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-28	Sachsen	A35-A59	1351804	62	0	705	0	5.54794515	Sachsen	69.5714285714286	0	6.65753418	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-28	Sachsen	A60-A79	1011120	22	1	268	3	6.1643835	Sachsen	33	0.571428571428571	7.3972602	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-28	Sachsen	A80+	361987	14	1	53	6	2.0547945	Sachsen	9.42857142857143	1	2.4657534	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-28	Sachsen	unbekannt	NA	0	0	NA	NA	NA	Sachsen	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-29	Sachsen	all	4056941	185	0	1617	9	18	Sachsen	153.571428571429	1.57142857142857	20.5714285714286	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-29	Sachsen	A00-A14	545787	7	0	47	0	0.24657534	Sachsen	5	0	0.281800388571429	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-29	Sachsen	A15-A34	786243	41	0	407	0	1.2328767	Sachsen	36.2857142857143	0	1.40900194285714	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-29	Sachsen	A35-A59	1351804	79	0	784	0	6.65753418	Sachsen	68.2857142857143	0.142857142857143	7.60861049142857	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-29	Sachsen	A60-A79	1011120	51	0	319	3	7.3972602	Sachsen	32.1428571428571	0.571428571428571	8.45401165714286	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-29	Sachsen	A80+	361987	7	0	60	6	2.4657534	Sachsen	11.8571428571429	0.857142857142857	2.81800388571429	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-29	Sachsen	unbekannt	NA	0	0	NA	NA	NA	Sachsen	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
2020-03-30	Sachsen	all	4056941	178	0	1795	9	19	Sachsen	148.857142857143	1.57142857142857	25	0	0	0	0	0	0	0	0	0	0	0	0
