"Date";"Sc";"Ec";"IAc1";"IAc2";"IAc3";"ISc1";"ISc2";"ISc3";"Cc1";"Cc2";"Cc3";"Cc4";"Dc";"Rc";"StCare";"EMuc";"IAMuc1";"IAMuc2";"IAMuc3";"ISMuc1";"ISMuc2";"ISMuc3";"Vac0";"Vac1";"EVac";"IAVac1";"IAVac2";"IAVac3";"ISVac1";"ISVac2";"ISVac3";"EVaMuc";"IAVaMuc1";"IAVaMuc2";"IAVaMuc3";"ISVaMuc1";"ISVaMuc2";"ISVaMuc3";"CVac1";"CVac2";"CVac3";"CVac4";"DVac";"SumIsc";"vr1";"vr2";"pcrit";"pdeath";"criticalallcomp";"simulatedcumuldeath";"simulateddailydeath";"ReportedCumlPosCases";"ReportedDailyPosCases";"procentmeasdyn";"dailyvaccination";"dailytests"
2020-03-04;1020491,97347969;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,331282747;0,162338202002526;0,378722735457503;0;0;0;0;0;0,185363830196972;0;128008
2020-03-05;1020468,38261553;23,5908641582549;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,331282747;0,162338202002526;0,378722735457503;0;0;0;0;0;0,185363830196972;0;128008
2020-03-06;1020444,79175138;40,6898980004891;6,49183031602071;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,331282747;0,162338202002526;0,378722735457503;0;0;0;0;0;0,185363830196972;0;128008
2020-03-07;1020416,60387442;57,6805626936407;14,2307204447983;1,72916106600457;0;1,72916106600457;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,331282747;0,162338202002526;0,378722735457503;0;0;0;0;0;0,185363830196972;0;128008
2020-03-08;1020381,30613641;77,1055279648004;22,5225163156158;4,40781079031018;1,11183871061452;4,12727048420504;1,32923921265165;0;0,0631398040679956;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,72916106600457;1;0,331282747;0,162338202002526;0,378722735457503;0,0631398040679956;0;0;0;0;0,185363830196972;0;128008
2020-03-09;1020335,88713889;101,306311492744;31,7425552400636;7,57270620528085;3,23112616124961;6,80294012985112;3,49643044515312;0,984148737161217;0,205159293577334;0,00539676815819883;0;0,00328980137557119;0,0213718596069109;0,71490466835302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,51964950092469;1;0,331282747;0,162338202002526;0,378722735457503;0,213845863111104;0;0;0,00090323684018944;0,00090323684018944;0,185363830196972;0;128008
2020-03-10;1020285,92458364;123,390982330672;42,7105735622746;11,1584410766917;6,0227323644468;9,7799155245667;6,08105966076509;2,66970362739191;0,425341486625303;0,0221899425546703;0,000742469865971477;0,00310619321365752;0,0884615073590847;3,69564630479527;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,5187370348835;0,740740117917227;0,245394421076723;0,162338202002526;0,378722735457503;0,451380092259602;2,82025820973187e-08;2,82025820973187e-08;0,0180903926469785;0,017187155806789;0,185363830196972;0;128008
2020-03-11;1020236,34091993;139,019411738382;53,91306870628;15,3600095423786;9,32495785689784;13,2811661041248;8,99896986896792;4,7220516400448;0,723935102042371;0,0554924676965674;0,00369314362215518;0,0150016789503909;0,196500664321115;10,0181990979836;0,000102146596947698;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19,9736700791381;0,481480235834454;0,159506095153446;0,162338202002526;0,378722735457503;0,798122392311484;2,06134723119909e-07;1,77932141022591e-07;0,0905091635451575;0,072418770898179;0,185363830196972;0;128008
2020-03-12;1020175,95593152;161,148470838058;63,4484755095968;19,8438899663325;13,2054547154011;16,9469828877753;12,4010666222248;7,05134431766303;1,10929630362213;0,109735124584918;0,0108195266861588;0,00313918068296355;0,390770493654;20,3475026606329;0,000600022685772584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31,3500396568135;0,481480235834454;0,159506095153446;0,162338202002526;0,378722735457503;1,23299013557617;8,95564560228908e-07;6,89429837108998e-07;0,272936539028499;0,182427375483341;0,185363830196972;0;128008
2020-03-13;1020103,42087005;189,338038164354;73,9937536252023;23,9845127781076;17,4739230697967;20,2008066812004;16,0475857910026;9,76191500408512;1,57549697436582;0,189453350729099;0,0244280139440015;0,0505620425325804;0,600533420806949;35,3095721871835;0,00202853595374991;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45,7103009109728;0,481480235834454;0,159506095153446;0,162338202002526;0,378722735457503;1,8399403815715;3,18430055084477e-06;2,28873599061586e-06;0,626046168845779;0,35310962981728;0,185363830196972;0;128008
2020-03-14;1020016,35672648;224,299367365843;86,6786806941651;28,2715791473304;21,6601876167741;23,6433770630372;19,4369239054644;12,6848329599478;2,09637168021431;0,298051917058158;0,0471316647388918;0;1,02566323037366;55,50386117576;0,00518640976940872;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62,6104089248541;0,481480235834454;0,159506095153446;0,162338202002526;0,378722735457503;2,44155526201136;9,91450943031843e-06;6,73020887947366e-06;1,21240268309292;0,586356514247144;0,185363830196972;0;128008
2020-03-15;1019911,5527975;267,379680662225;102,226905889931;33,1808428241379;25,9112670443756;27,6926248454343;22,9087220939772;15,4348148914864;2,67129057044074;0,436230730852633;0,0816524595271551;0,109228188764262;1,33817523343828;81,0725563835179;0,0111519915749995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82,3193525767673;0,48182581905135;0,159620580910856;0,162338202002526;0,378722735457503;3,29840194958479;2,85130309989691e-05;1,85985215686506e-05;2,09328499823861;0,88088231514569;0,185363830196972;0;128008
2020-03-16;1019784,83373126;320,520114721557;121,34731074607;39,0749020343839;30,5855544318202;32,6226996803953;26,866966873445;18,2316157500902;3,31497106693443;0,604539572991079;0,130434188493494;0;2,06751754114017;111,898911352735;0,0212702755550803;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;105,407047820297;0,482171402268246;0,159735066668267;0,162338202002526;0,378722735457503;4,049944828419;7,63524917635565e-05;4,78394607645874e-05;3,32085528466477;1,22757028642615;0,185363830196972;0;128008
2020-03-17;1019635,62980782;381,522004367732;144,905311963132;46,2720242039207;36,0441467387834;38,6758140143855;31,6207878982513;21,3924277246429;4,0501163097247;0,804710534070856;0,195660070162971;0,172721416180438;2,49949174007863;148,298426726153;0,0370879655061181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132,636161484397;0,482171402268246;0,159735066668267;0,162338202002526;0,378722735457503;5,22320833013896;0,000193029981743318;0,000116677489979762;4,93585960577404;1,61500432110928;0,185363830196972;0;128008
2020-03-18;1019467,19514731;444,967882035786;172,700264558779;55,116344997263;42,6206018283242;46,1296546453871;37,4316629482082;25,1722318525026;4,90515033017123;1,04017792184655;0,279451258342987;0;3,57876025397966;191,110026788014;0,060297455316163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;164,958177771335;0,482171402268246;0,159735066668267;0,162338202002526;0,378722735457503;6,22477951036077;0,000461729369102051;0,000268699387358733;10,4322707532239;5,4964111474499;0,499539482966715;0;374534
2020-03-19;1019280,5625056;509,152445246033;203,147610126059;65,6772794967824;50,655279017318;54,9848618536748;44,5767346329099;29,7856082320201;5,91472632471944;1,31633305924066;0,384109566303529;0,255575235650126;4,18059643046926;241,621275638381;0,0927137213255474;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;203,555092894878;0,482171402268246;0,159735066668267;0,162338202002526;0,378722735457503;7,87074418591375;0,00104946057366806;0,000587731204566007;17,1913444906419;6,75907373741797;0,499539482966715;0;374534
2020-03-20;1019076,02256178;573,581740416237;235,037642719104;77,5575470828514;60,3143223374006;64,8194980642427;53,1239895622534;35,4554098198358;7,10875339504387;1,64078747191116;0,512361852035866;0;5,74201403522419;301,535686946791;0,136286918652128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;249,555459359598;0,482171402268246;0,159735066668267;0,162338202002526;0,378722735457503;9,2619027189909;0,00226981817395402;0,00122035760028596;25,3735149362186;8,18217044557671;0,499539482966715;0;374534
2020-03-21;1018852,94321061;638,820526435722;267,669161715298;90,2930991072104;71,4015976321866;75,2291673753029;62,7656334841506;42,2503145003689;8,49761892002704;2,02266194646606;0,667606990271934;0,370390549081;6,59615558918767;372,868310207627;0,193147339618365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;303,665767390134;0,482171402268246;0,159735066668267;0,162338202002526;0,378722735457503;11,558278405846;0,00468166898640586;0,00241185081245185;35,1980450920258;9,8245301558072;0,499539482966715;0;374534
2020-03-22;1018696,81205596;619,158440435734;300,869922127492;103,531495531744;83,5487035637906;85,9483356633981;73,1158403115692;49,9480884780785;10,0755148200893;2,47071030493668;0,854031057828178;0;8,82949492713642;457,571320467401;0,265679853955422;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;366,270290467763;0,291196720883176;0,0964684496115707;0,162338202002526;0,378722735457503;13,4002561828542;0,00922241650114884;0,00454074751474298;46,9490948454752;11,7510497534494;0,499539482966715;0;374534
2020-03-23;1018623,08876112;522,499187734157;310,97330957337;117,101033747604;96,3975018006512;96,879406769755;83,8765260441618;58,2447812554268;11,8277361725543;2,99198561110392;1,0764485470983;0,524969042967288;10,0050707447223;557,156308589874;0,35660675182961;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;437,566530584507;0,100222039498105;0,0332018325548748;0,162338202002526;0,378722735457503;16,4211393737238;0,0173829432313368;0,00816052673018797;60,9616107613942;14,012515915919;0,499539482966715;0;374534
2020-03-24;1018545,7920919;456,012397211968;289,095341552299;124,636585754764;109,709730902741;101,699543274448;94,9000722336808;66,8946796713392;13,7380374155065;3,59131371266046;1,33998192586963;0;13,0887335923804;672,625922924663;0,46904045725181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;517,706110633418;0,100222039498105;0,0332018325548748;0,162338202002526;0,378722735457503;18,6693330540366;0,0314040839034591;0,0140211406721223;77,5907258111772;16,6291150497831;0,499539482966715;0;374534
