"Date";"Sc";"Ec";"IAc1";"IAc2";"IAc3";"ISc1";"ISc2";"ISc3";"Cc1";"Cc2";"Cc3";"Cc4";"Dc";"Rc";"StCare";"EMuc";"IAMuc1";"IAMuc2";"IAMuc3";"ISMuc1";"ISMuc2";"ISMuc3";"Vac0";"Vac1";"EVac";"IAVac1";"IAVac2";"IAVac3";"ISVac1";"ISVac2";"ISVac3";"EVaMuc";"IAVaMuc1";"IAVaMuc2";"IAVaMuc3";"ISVaMuc1";"ISVaMuc2";"ISVaMuc3";"CVac1";"CVac2";"CVac3";"CVac4";"DVac";"SumIsc";"vr1";"vr2";"pcrit";"pdeath";"criticalallcomp";"simulatedcumuldeath";"simulateddailydeath";"ReportedCumlPosCases";"ReportedDailyPosCases";"procentmeasdyn";"dailyvaccination";"dailytests"
2020-03-04;349267,975997211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,331282747;0,246032038379228;0,9;0;0;0;0;0;0,185363830196972;0;128008
2020-03-05;349267,975997211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,331282747;0,246032038379228;0,9;0;0;0;0;0;0,185363830196972;0;128008
2020-03-06;349267,975997211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,331282747;0,246032038379228;0,9;0;0;0;0;0;0,185363830196972;0;128008
2020-03-07;349263,858387746;4,11760946553312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,331282747;0,246032038379228;0,9;0;0;0;0;0;0,185363830196972;0;128008
2020-03-08;349253,372209;13,4706876274895;1,13310058413134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,331282747;0,246032038379228;0,9;0;0;0;0;0;0,185363830196972;0;128008
2020-03-09;349233,747627624;29,3883501833495;4,23639505783296;0,301812172926286;0;0,301812172926286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,331282747;0,246032038379228;0,9;0;0;0;0;0;0,185363830196972;0;128008
2020-03-10;349211,108667184;43,9401044330465;10,0667926018142;1,23615333812787;0,19406315802003;1,20468627491752;0,208827952505342;0;0,0167022687250452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,301812172926286;0,703391232499092;0,233021379718015;0,246032038379228;0,9;0,0167022687250452;0;0;0;0;0,185363830196972;0;128008
2020-03-11;349191,130809883;51,8263443972603;16,795637044371;3,12270166371692;0,864119999441009;2,98586661222124;0,952092046523376;0,0801664734664353;0,038884602981475;0,00444849366424163;0;0,0400364429781746;0,01010827146672;0,124781280143744;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,4302164961479;0,406782464998185;0,13476001243603;0,246032038379228;0,9;0,0833695396238913;0;0;0,000157653256694323;0,000157653256694323;0,185363830196972;0;128008
2020-03-12;349162,67280628;66,0225629524608;22,1100651093945;5,58850439424007;2,31637252512879;5,22834564261041;2,60647162384323;0,372094381676081;0,100556776599325;0,00295689697049554;0,0118481484201747;0,127681525419328;0,0617579622922399;0,753972992594459;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,11160294330167;0,406782464998185;0,13476001243603;0,246032038379228;0,9;0,243043347409323;1,33390056431949e-08;1,33390056431949e-08;0,00340138020606706;0,00324372694937273;0,185363830196972;0;128008
2020-03-13;349124,580649324;85,9463614774245;28,4999691156856;7,88436159473839;4,42033088380245;7,21067295074443;5,09727719759996;1,03121702530515;0,122069525411758;0,02186383796196;0;0,350978809736945;0,205667613368395;2,58485428747867;0,0315564394561009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,5852814348973;0,406782464998185;0,13476001243603;0,246032038379228;0,9;0,494912173110662;1,23780112938764e-07;1,1044110729557e-07;0,0210005327473082;0,0175991525412411;0,185363830196972;0;128008
