"Date";"Sc";"Ec";"IAc1";"IAc2";"IAc3";"ISc1";"ISc2";"ISc3";"Cc1";"Cc2";"Cc3";"Cc4";"Dc";"Rc";"StCare";"EMuc";"IAMuc1";"IAMuc2";"IAMuc3";"ISMuc1";"ISMuc2";"ISMuc3";"Vac0";"Vac1";"EVac";"IAVac1";"IAVac2";"IAVac3";"ISVac1";"ISVac2";"ISVac3";"EVaMuc";"IAVaMuc1";"IAVaMuc2";"IAVaMuc3";"ISVaMuc1";"ISVaMuc2";"ISVaMuc3";"CVac1";"CVac2";"CVac3";"CVac4";"DVac";"SumIsc";"vr1";"vr2";"pcrit";"pdeath";"criticalallcomp";"simulatedcumuldeath";"simulateddailydeath";"ReportedCumlPosCases";"ReportedDailyPosCases";"procentmeasdyn";"dailyvaccination";"dailytests"
2020-03-04;4077937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1,656413735;0,443024474112797;1,45174256407607;0;0;0;0;0;0,926819150984859;0;640040
2020-03-05;4077862,59823819;74,4017618060466;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1,656413735;0,443024474112797;1,45174256407607;0;0;0;0;0;0,926819150984859;0;640040
2020-03-06;4077788,19647639;128,32934303025;20,4741805818433;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1,656413735;0,443024474112797;1,45174256407607;0;0;0;0;0;0,926819150984859;0;640040
2020-03-07;4077686,93628722;194,275339642556;44,8813856821701;5,45349372935724;0;5,45349372935724;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1,656413735;0,443024474112797;1,45174256407607;0;0;0;0;0;0,926819150984859;0;640040
2020-03-08;4077544,13587807;283,614267635297;74,4336945566125;13,901520788166;3,50655907977568;12,640344361375;4,69081293429055;0;0,0769225722761091;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,40042509699094;5;1,656413735;0,443024474112797;1,45174256407607;0,0769225722761091;0;0;0;0;0,926819150984859;0;640040
2020-03-09;4077342,01909721;407,68491638331;112,82757441731;24,7890643525664;10,1904481922278;21,4278993325312;11,4701243675173;4,05426074283541;0,248633947467995;0,00711353432737886;0;0,00346091519106927;0,0227131528625809;2,25469344793883;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,2386796565246;5;1,656413735;0,443024474112797;1,45174256407607;0,259208396986443;0;0;0,00282094189846452;0,00282094189846452;0,926819150984859;0;640040
2020-03-10;4077096,22715697;541,288456839747;164,910568070945;38,9025689912;19,5772582977615;32,7951055831451;19,9075269647754;10,2045587793117;0,532256704722386;0,0290861884998855;0,000977773985512394;0,00315065669700494;0,093666307361044;12,5276619041964;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36,7529134201204;3,97855304979032;1,31802598341976;0,443024474112797;1,45174256407607;0,565471323904789;2,99725700092446e-08;2,99725700092446e-08;0,0564989649523515;0,053678023053887;0,926819150984859;0;640040
2020-03-11;4076818,45628035;670,105365930663;226,013522927834;57,8139901754455;32,0033005826858;48,1736156269138;30,8189622685749;17,8591902526878;0,919820869770675;0,0771235916899272;0,00484137780260559;0,0560879631251242;0,217372979224076;34,4803907312766;0,000134405189133564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66,0683986761666;2,95710609958064;0,97963823183953;0,443024474112797;1,45174256407607;1,05787380238833;2,18613754867476e-07;1,88641184858231e-07;0,283079966005828;0,226581001053476;0,926819150984859;0;640040
2020-03-12;4076454,71176334;849,44755243104;290,014128432857;80,8408533566828;48,5993970372481;66,5194417821164;45,6234856065732;27,5571214801692;1,45938331390086;0,147054092604437;0,0260132738108453;0,130938660793097;0,475748000652767;71,4476200720047;0,000786466896453348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108,506292216203;2,95710609958064;0,97963823183953;0,443024474112797;1,45174256407607;1,76338934110924;9,61587833505539e-07;7,42974078638064e-07;0,86119125124112;0,578111285235292;0,926819150984859;0;640040
2020-03-13;4075990,9748253;1079,43004485802;369,272502805685;106,108774497017;69,3304324088482;86,0073941304397;63,834136034822;40,41343649514;2,07126035478952;0,271992937848685;0,0320233082805938;0,404486230523147;0,841752872171073;127,985846582989;0,0342113978299212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;166,377491026168;2,95710609958064;0,97963823183953;0,443024474112797;1,45174256407607;2,77976283144195;3,49532139870271e-06;2,53373356519717e-06;2,00937946405911;1,14818821281799;0,926819150984859;0;640040
2020-03-14;4075404,91563955;1368,44726375865;469,595946984048;136,240821293931;92,9786542256473;109,593947234876;83,9080292395736;56,1539888631378;2,82767599705518;0,396839624914599;0,12023017340398;0,5950610992114;1,59104768423909;209,65552207352;0,0351920854536631;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;240,662891297174;2,95710609958064;0,97963823183953;0,443024474112797;1,45174256407607;3,93980689458516;1,11524868470383e-05;7,65716544833556e-06;3,98960218891669;1,98022272485758;0,926819150984859;0;640040
2020-03-15;4074844,84097351;1551,94702465324;596,008112580502;173,720277020779;120,795931052689;139,235629477983;107,868034487108;73,7174152748361;3,61113382022728;0,640154805904351;0,108010983092141;1,0975143149447;2,39123401169768;320,975986993563;0,195290901327025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;335,315091313359;2,17869496322673;0,721764052292815;0,443024474112797;1,45174256407607;5,45681392416847;3,283386992386e-05;2,16813830768217e-05;7,10907286694323;3,11947067802654;0,926819150984859;0;640040
2020-03-16;4074374,58733813;1595,12954149344;705,574313982271;220,771788463779;154,825922670093;176,556654903402;137,583197571176;94,7927279465096;4,68261723965441;0,827940537146536;0,312984023075886;1,31323737078618;3,84492214067351;466,316671697327;0,190607477393435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;455,705503262327;1,40028382687282;0,463889872746101;0,443024474112797;1,45174256407607;7,13677917066302;8,98643823275998e-05;5,70305124037398e-05;11,7017033363215;4,59263046937831;0,926819150984859;0;640040
2020-03-17;4073814,88666527;1715,87595451469;768,655646300611;266,753505812584;197,228662262089;210,34183105284;174,789602022852;121,00626930777;5,70608530047648;1,21733905434763;0,263802658412866;2,15969942375811;5,21224370633266;652,878676084305;0,565742947370147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;608,472545545565;1,40028382687282;0,463889872746101;0,443024474112797;1,45174256407607;9,34692643699508;0,000231990361529515;0,000142125979201915;18,1264928650899;6,42478952876832;0,926819150984859;0;640040
2020-03-18;4073180,32372451;1878,25714452622;831,359837708407;299,971610063767;241,932660014866;231,513939368854;209,899487884159;153,84572747098;7,25268121325333;1,48428300801019;0,631820279120399;2,40564677430423;7,60395002350254;890,798935024668;0,545422830588103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;789,690713285357;1,40028382687282;0,463889872746101;0,443024474112797;1,45174256407607;11,7744312746882;0,000566888489579691;0,000334898128050177;41,4984483771772;23,3719555120874;2,49769741483358;0;1872670
2020-03-19;4072476,32984019;2065,38455924845;905,34502629853;328,532561847039;279,2513069914;251,37602153251;233,849416603994;184,910196899427;8,3130919027941;2,07396931031692;0,53329856881164;3,74852183077717;9,78759759021842;1187,59817568269;1,20901528677655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;988,158508333016;1,40028382687282;0,463889872746101;0,443024474112797;1,45174256407607;14,6688816126998;0,00131785638392379;0,000750967894344104;72,2941096393513;30,7956612621741;2,49769741483358;0;1872670
2020-03-20;4071705,12275808;2268,23068577639;991,411376331214;358,435679715506;310,938815999895;274,229866248863;255,43871775233;205,712891659761;10,6184780857666;2,42940332792875;1,13813955295247;3,53805084632928;13,3859276033134;1536,96715863054;1,16139293089177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1204,05784600406;1,40028382687282;0,463889872746101;0,443024474112797;1,45174256407607;17,7240718129771;0,00292065329971734;0,00160279691579354;111,945145611762;39,6510359724108;2,49769741483358;0;1872670
2020-03-21;4070864,84925554;2484,32320746072;1087,44856140747;392,035892923121;341,478973738827;300,725964527265;279,303649749128;223,548324790513;11,4908932110079;3,27124621141243;0,957719527570944;5,68242361210284;16,4005991896341;1925,79678666822;2,24904453666363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1440,33973486287;1,40028382687282;0,463889872746101;0,443024474112797;1,45174256407607;21,4022825620942;0,00618589389303238;0,00326524059331505;161,463760660474;49,518615048712;2,49769741483358;0;1872670
2020-03-22;4070156,72265251;2508,80360724356;1191,79012416056;429,611821747621;373,986726164915;330,341963829815;306,600452023864;243,096194296166;15,0881078654757;3,70508562138233;1,90282652302341;4,5483544541812;21,3509602072357;2350,73980288349;2,15571542087494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1700,06613440125;1,00843409660663;0,334076817692308;0,443024474112797;1,45174256407607;25,2443744640627;0,0125421020065965;0,00635620811356413;221,25485004659;59,7910893861162;2,49769741483358;0;1872670
2020-03-23;4069613,62801877;2361,51542138011;1247,28355780358;470,819058687517;409,75328126865;362,552956243893;337,095114668746;265,692983325838;15,7161200361912;4,90439523943769;1,57950642803492;8,27995716764093;25,2212984468284;2814,51475590813;3,87270353452011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1985,72690325142;0,616584366340439;0,204263762638515;0,443024474112797;1,45174256407607;30,4799788713048;0,0243895069495929;0,0118474049429964;291,377914557822;70,1230645112316;2,49769741483358;0;1872670
2020-03-24;4069034,96035317;2290,33163171806;1232,68321398499;500,311531347893;449,018157492672;382,068141938673;370,352479561463;291,197233216654;20,052416417513;5,35971537256747;3,10204412882768;6,64280528676029;31,8252883652465;3322,19604704484;3,70240256306832;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2299,3881428257;0,616584366340439;0,204263762638515;0,443024474112797;1,45174256407607;35,1569812056685;0,045564482240405;0,0211749752908121;371,871238321577;80,4933237637552;2,49769741483358;0;1872670
2020-03-25;4068433,9887312;2261,04044429075;1206,2721066057;506,951605128795;481,999445223162;380,846662126352;393,796582673401;319,193528552387;20,4380299475812;6,85615276513399;2,44228098231503;11,1280011694433;36,7996933854473;3878,51251041273;6,59757553041447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2627,92267396365;0,616584366340439;0,204263762638515;0,443024474112797;1,45174256407607;40,8644648644735;0,0819239589773074;0,0363594767369024;463,543140786531;91,6719024649535;2,51450827246233;0;1887995
2020-03-26;4067818,85939198;2253,96744265353;1185,87023255661;502,287306053402;498,043512974831;373,101986205214;398,421162834844;339,703375708123;24,2723929195306;7,404264643295;4,35062316684849;8,92028636352695;45,1697437424398;4482,01732931468;6,27327291358789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2952,56828617195;0,616584366340439;0,204263762638515;0,443024474112797;1,45174256407607;44,9475670932011;0,14200334457184;0,060079385594533;566,223886286713;102,680745500183;2,51450827246233;0;1887995
2020-03-27;4067195,07289675;2257,49797449852;1174,39044942551;495,187885112752;500,772242829648;365,792573102244;393,726237293238;345,204204333366;23,6436154976774;9,02335039601088;3,58520069190422;13,3423062142847;50,7995617078895;5114,62775469583;9,7121830330137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3270,11238966531;0,616584366340439;0,204263762638515;0,443024474112797;1,45174256407607;49,5944727998771;0,237713130600154;0,0957097860283133;680,084447773459;113,860561486746;2,51450827246233;0;1887995
2020-03-28;4066565,26160821;2266,08175348848;1169,99771242739;489,595593181855;497,181539103065;360,879724275312;386,814303272281;342,974037455887;26,2290443499579;9,57603252610905;5,65462608173789;10,6710473529174;59,9488562851138;5754,38471505469;9,23337713604893;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3582,12513544955;0,616584366340439;0,204263762638515;0,443024474112797;1,45174256407607;52,1307503107222;0,384971094391061;0,147257963790908;804,455847259914;124,371399486455;2,51450827246233;0;1887995
2020-03-29;4066036,58585283;2171,16787997207;1170,30718976491;486,429059129115;492,303827883648;358,257473690123;380,814411967608;338,988433553244;25,0515964764453;11,0505279459444;4,98966745614609;14,3115198437252;65,4428582209269;6389,73838113251;12,6098812296344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3890,98034584226;0,579622416754777;0,192018906445301;0,443024474112797;1,45174256407607;55,403311722261;0,604206786926174;0,219235692535112;937,716808820513;133,260961560599;2,51450827246233;0;1887995
2020-03-30;4065620,82140744;1989,4614836901;1144,33301537827;485,381017010506;488,526391850872;357,313451607568;376,544199466154;335,841825392216;26,8408559754358;11,5364198298548;6,97022235932336;11,4342132102666;74,5206816222685;7018,63578798985;12,0341726885751;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4198,58015663862;0,542660467169114;0,179774050252088;0,443024474112797;1,45174256407607;56,7817113748806;0,92062057689133;0,316413789965156;1077,78927093808;140,07246211757;2,51450827246233;0;1887995
2020-03-31;4065216,2686098;1846,54614766254;1082,19307230802;478,088389130244;486,503937392658;349,709859410939;373,900040138753;334,11759581329;25,4508389420509;12,788172929091;6,55213529973117;14,4996173456064;79,6530977475884;7642,15912794437;14,8471260997041;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4506,19838388109;0,542660467169114;0,179774050252088;0,443024474112797;1,45174256407607;59,2907645164794;1,36416612969654;0,443545552805208;1222,69328892592;144,90401798784;2,51450827246233;0;1887995
2020-04-01;4064823,45824473;1731,21640471757;1013,82823935234;458,933303090801;481,092797555456;332,018658286168;365,488414628307;333,635182068974;26,8220619662366;13,145116714124;8,42136504001965;11,5858621492294;88,3908714709036;8263,08101913562;14,2622261237079;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4806,42968484733;0,542660467169114;0,179774050252088;0,443024474112797;1,45174256407607;59,9744058696096;1,96919253584945;0,605026406152915;1383,38219408069;160,688905154771;2,72714513408597;0;2088230
2020-04-02;4064448,01273368;1630,25871729805;950,145750503135;433,885179231198;466,844394536308;311,856623151042;347,790216580366;327,446842988755;25,176986816569;14,1840814632429;8,14758923485085;14,3867937279811;93,2127781622274;8880,02238532809;16,691610341838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5089,16019678144;0,542660467169114;0,179774050252088;0,443024474112797;1,45174256407607;61,8954512426439;2,77379308322988;0,804600547380423;1546,39231304023;163,010118959538;2,72714513408597;0;2088230
2020-04-03;4064093,32930799;1536,32089313526;892,606192447111;407,980387583723;445,651845057749;292,777868917295;327,574535252627;311,643559525523;26,2771097502456;14,3660512652391;9,92730003825058;11,5086151360216;101,640810528804;9482,36604799101;16,1412673967959;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5352,73229106945;0,542660467169114;0,179774050252088;0,443024474112797;1,45174256407607;62,0790761897569;3,81886517014634;1,04507208691647;1710,73774498038;164,345431940152;2,72714513408597;0;2088230
2020-04-04;4063760,56754565;1446,31159959775;839,868863130709;383,405988005459;421,429356170887;275,456036097535;308,569662694863;292,226551838329;24,2447643510829;15,2156192026279;9,67033664723442;14,484729830893;106,326562698095;10056,5253975043;18,4247469692051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5598,57312269359;0,542660467169114;0,179774050252088;0,443024474112797;1,45174256407607;63,6154500318383;5,14696966990044;1,3281044997541;1875,20619926581;164,468454285424;2,72714513408597;0;2088230
2020-04-05;4063449,14884715;1359,7283671058;790,456592583454;360,585667050526;396,980591122091;259,560352561094;291,538668763305;273,331716509117;25,1980425921692;15,1567628791709;11,4403404148726;11,6293198397944;114,584982947603;10597,519283827;17,9100410929318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5828,5476992599;0,542660467169114;0,179774050252088;0,443024474112797;1,45174256407607;63,424465726007;6,80099024101042;1,65402057110998;2038,2338846086;163,02768534279;2,72714513408597;0;2088230
2020-04-06;4063157,77379626;1276,92781442552;743,54085589094;339,277225380214;373,578904461321;244,645039392383;276,070147670316;256,223959338953;22,9246263934011;15,813101873693;11,0311851476647;14,725013307944;119,267506336213;11105,4015906649;20,3787469772181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6044,15577855338;0,542660467169114;0,179774050252088;0,443024474112797;1,45174256407607;64,4939267227028;8,82263043080426;2,02164018979385;2198,16133700851;159,927452399908;2,72714513408597;0;2088230
2020-04-07;4062885,04094562;1198,27045564805;698,832635009984;319,173510638547;351,523159978493;230,441164403509;261,583589118384;240,797955815318;23,7591019703503;15,5292177050959;12,7494287733097;11,8821681077138;127,366251808696;11582,7839177898;19,855300039041;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6246,47189248027;0,542660467169114;0,179774050252088;0,443024474112797;1,45174256407607;63,9199165564697;11,2506737126388;2,42804328183454;2353,53591581288;155,374578804374;2,72714513408597;0;2088230
2020-04-08;4062629,67160871;1123,89483626442;656,296085074486;300,087884609873;330,722557236457;216,851323110758;247,694716120039;226,608456458893;21,4071929247132;15,9950322911226;12,1630789677016;14,8753676023598;132,033876371828;12031,7758212991;22,4508424394451;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6436,31044264393;0,542660467169114;0,179774050252088;0,443024474112797;1,45174256407607;64,4406717858972;14,1189808156545;2,86830710301567;2494,17312349603;140,637207683153;2,56149934166269;0;1931205
