DateRep,Altersgruppe,variable,value,variable2,country
2021-01-17,all,AllVaccinations_vollrel,0.000167684460528602,Basic Immunisation,Saarland
2021-01-18,all,AllVaccinations_vollrel,0.000820129452403528,Basic Immunisation,Saarland
2021-01-19,all,AllVaccinations_vollrel,0.00148070459994045,Basic Immunisation,Saarland
2021-01-20,all,AllVaccinations_vollrel,0.00212806824452663,Basic Immunisation,Saarland
2021-01-21,all,AllVaccinations_vollrel,0.00272868349405635,Basic Immunisation,Saarland
2021-01-22,all,AllVaccinations_vollrel,0.00329372931256485,Basic Immunisation,Saarland
2021-01-23,all,AllVaccinations_vollrel,0.00410776114822188,Basic Immunisation,Saarland
2021-01-25,all,AllVaccinations_vollrel,0.00474089702039958,Basic Immunisation,Saarland
2021-01-26,all,AllVaccinations_vollrel,0.0055071641915424,Basic Immunisation,Saarland
2021-01-27,all,AllVaccinations_vollrel,0.00638928608086863,Basic Immunisation,Saarland
2021-01-28,all,AllVaccinations_vollrel,0.00716978102441994,Basic Immunisation,Saarland
2021-01-29,all,AllVaccinations_vollrel,0.00804478902754192,Basic Immunisation,Saarland
2021-01-30,all,AllVaccinations_vollrel,0.00897670812029785,Basic Immunisation,Saarland
2021-02-01,all,AllVaccinations_vollrel,0.00986391135691282,Basic Immunisation,Saarland
2021-02-02,all,AllVaccinations_vollrel,0.0108120907609927,Basic Immunisation,Saarland
2021-02-03,all,AllVaccinations_vollrel,0.0117653515123614,Basic Immunisation,Saarland
2021-02-04,all,AllVaccinations_vollrel,0.0127094658386103,Basic Immunisation,Saarland
2021-02-05,all,AllVaccinations_vollrel,0.0137633372662961,Basic Immunisation,Saarland
2021-02-06,all,AllVaccinations_vollrel,0.0147938344964537,Basic Immunisation,Saarland
2021-02-08,all,AllVaccinations_vollrel,0.0154096937878497,Basic Immunisation,Saarland
2021-02-09,all,AllVaccinations_vollrel,0.0155733131705473,Basic Immunisation,Saarland
2021-02-10,all,AllVaccinations_vollrel,0.0157653880980619,Basic Immunisation,Saarland
2021-02-11,all,AllVaccinations_vollrel,0.0159635606423229,Basic Immunisation,Saarland
2021-02-12,all,AllVaccinations_vollrel,0.0162531974377814,Basic Immunisation,Saarland
2021-02-13,all,AllVaccinations_vollrel,0.0164920207603525,Basic Immunisation,Saarland
2021-02-15,all,AllVaccinations_vollrel,0.0172491415063756,Basic Immunisation,Saarland
2021-02-16,all,AllVaccinations_vollrel,0.0179666277435464,Basic Immunisation,Saarland
2021-02-17,all,AllVaccinations_vollrel,0.0186180564659636,Basic Immunisation,Saarland
2021-02-18,all,AllVaccinations_vollrel,0.0194717228104729,Basic Immunisation,Saarland
2021-02-19,all,AllVaccinations_vollrel,0.020143476922045,Basic Immunisation,Saarland
2021-02-20,all,AllVaccinations_vollrel,0.0207014088543493,Basic Immunisation,Saarland
2021-02-22,all,AllVaccinations_vollrel,0.0213477562294777,Basic Immunisation,Saarland
2021-02-23,all,AllVaccinations_vollrel,0.0219666643292469,Basic Immunisation,Saarland
2021-02-24,all,AllVaccinations_vollrel,0.0226760204107558,Basic Immunisation,Saarland
2021-02-25,all,AllVaccinations_vollrel,0.0227756148176152,Basic Immunisation,Saarland
2021-02-26,all,AllVaccinations_vollrel,0.0230256171042215,Basic Immunisation,Saarland
2021-02-27,all,AllVaccinations_vollrel,0.0231546833253556,Basic Immunisation,Saarland
2021-03-01,all,AllVaccinations_vollrel,0.0236922898685049,Basic Immunisation,Saarland
