datum,agegroup2,outcome,value,type,region,scenario
2020-03-04,all,reported,0,modelled,Saarland,observed
2020-03-05,all,reported,0,modelled,Saarland,observed
2020-03-06,all,reported,0,modelled,Saarland,observed
2020-03-07,all,reported,0,modelled,Saarland,observed
2020-03-08,all,reported,0.00801684810046738,modelled,Saarland,observed
2020-03-09,all,reported,0.148335533617805,modelled,Saarland,observed
2020-03-10,all,reported,0.564797915344825,modelled,Saarland,observed
2020-03-11,all,reported,1.32573664553986,modelled,Saarland,observed
2020-03-12,all,reported,2.51408469018865,modelled,Saarland,observed
2020-03-13,all,reported,4.28381488316862,modelled,Saarland,observed
2020-03-14,all,reported,6.68777898422001,modelled,Saarland,observed
2020-03-15,all,reported,9.42284487334393,modelled,Saarland,observed
2020-03-16,all,reported,12.1208281214588,modelled,Saarland,observed
2020-03-17,all,reported,14.6571452019118,modelled,Saarland,observed
2020-03-18,all,reported,17.0728728256294,modelled,Saarland,observed
2020-03-19,all,reported,19.5850553354139,modelled,Saarland,observed
2020-03-20,all,reported,22.5663196734671,modelled,Saarland,observed
2020-03-21,all,reported,26.3029990749655,modelled,Saarland,observed
2020-03-22,all,reported,30.8850537049485,modelled,Saarland,observed
2020-03-23,all,reported,36.3287981322168,modelled,Saarland,observed
2020-03-24,all,reported,42.6929280952938,modelled,Saarland,observed
2020-03-25,all,reported,46.1948376450748,modelled,Saarland,observed
2020-03-26,all,reported,53.5910712385432,modelled,Saarland,observed
2020-03-27,all,reported,60.7546497287693,modelled,Saarland,observed
2020-03-28,all,reported,67.044412223446,modelled,Saarland,observed
2020-03-29,all,reported,72.3914059989485,modelled,Saarland,observed
2020-03-30,all,reported,77.0036418835648,modelled,Saarland,observed
2020-03-31,all,reported,81.0611795783765,modelled,Saarland,observed
2020-04-01,all,reported,76.8843387737294,modelled,Saarland,observed
2020-04-02,all,reported,79.8238463373135,modelled,Saarland,observed
2020-04-03,all,reported,82.5073983203244,modelled,Saarland,observed
2020-04-04,all,reported,84.7015765979644,modelled,Saarland,observed
2020-04-05,all,reported,85.8160889668416,modelled,Saarland,observed
2020-04-06,all,reported,85.5058040508489,modelled,Saarland,observed
2020-04-07,all,reported,83.9204374169162,modelled,Saarland,observed
2020-04-08,all,reported,81.1422583937465,modelled,Saarland,observed
2020-04-09,all,reported,78.0727022757926,modelled,Saarland,observed
2020-04-10,all,reported,74.6623289379757,modelled,Saarland,observed
2020-04-11,all,reported,71.0868245073616,modelled,Saarland,observed
2020-04-12,all,reported,67.4752443072,modelled,Saarland,observed
2020-04-13,all,reported,63.9134114650678,modelled,Saarland,observed
2020-04-14,all,reported,60.4537733477444,modelled,Saarland,observed
2020-04-15,all,reported,57.3197100911878,modelled,Saarland,observed
2020-04-16,all,reported,54.1641289506479,modelled,Saarland,observed
2020-04-17,all,reported,51.177023064987,modelled,Saarland,observed
2020-04-18,all,reported,48.3553230493722,modelled,Saarland,observed
2020-04-19,all,reported,45.694410732621,modelled,Saarland,observed
2020-04-20,all,reported,43.1886412053238,modelled,Saarland,observed
2020-04-21,all,reported,40.8274409893893,modelled,Saarland,observed
2020-04-22,all,reported,46.3636172306665,modelled,Saarland,observed
2020-04-23,all,reported,43.6490066058514,modelled,Saarland,observed
2020-04-24,all,reported,40.9026073492237,modelled,Saarland,observed
2020-04-25,all,reported,38.1547783354786,modelled,Saarland,observed
2020-04-26,all,reported,35.4512238134575,modelled,Saarland,observed
2020-04-27,all,reported,32.8356586507389,modelled,Saarland,observed
2020-04-28,all,reported,30.3377122410607,modelled,Saarland,observed
2020-04-29,all,reported,27.7061312552723,modelled,Saarland,observed
2020-04-30,all,reported,25.5145863231746,modelled,Saarland,observed
2020-05-01,all,reported,23.472377441336,modelled,Saarland,observed
2020-05-02,all,reported,21.5777648687863,modelled,Saarland,observed
2020-05-03,all,reported,19.8280314567323,modelled,Saarland,observed
2020-05-04,all,reported,18.2558750859357,modelled,Saarland,observed
2020-05-05,all,reported,16.9268840080622,modelled,Saarland,observed
2020-05-06,all,reported,18.7484932612706,modelled,Saarland,observed
2020-05-07,all,reported,17.7704392229116,modelled,Saarland,observed
2020-05-08,all,reported,17.0005441178746,modelled,Saarland,observed
2020-05-09,all,reported,16.3840791763505,modelled,Saarland,observed
2020-05-10,all,reported,15.8809346771191,modelled,Saarland,observed
2020-05-11,all,reported,15.4349515728195,modelled,Saarland,observed
2020-05-12,all,reported,14.9731506859425,modelled,Saarland,observed
2020-05-13,all,reported,13.8519653074404,modelled,Saarland,observed
2020-05-14,all,reported,13.2927059184703,modelled,Saarland,observed
2020-05-15,all,reported,12.696609820081,modelled,Saarland,observed
2020-05-16,all,reported,12.0855111362248,modelled,Saarland,observed
2020-05-17,all,reported,11.4756429839504,modelled,Saarland,observed
2020-05-18,all,reported,10.8822374558504,modelled,Saarland,observed
2020-05-19,all,reported,10.3201753850558,modelled,Saarland,observed
2020-05-20,all,reported,10.1739679751636,modelled,Saarland,observed
2020-05-21,all,reported,9.67202814020629,modelled,Saarland,observed
2020-05-22,all,reported,9.20730342349043,modelled,Saarland,observed
2020-05-23,all,reported,8.77623803195411,modelled,Saarland,observed
2020-05-24,all,reported,8.37410405954825,modelled,Saarland,observed
2020-05-25,all,reported,7.99709739449327,modelled,Saarland,observed
2020-05-26,all,reported,7.64325573325323,modelled,Saarland,observed
2020-05-27,all,reported,7.37050345088392,modelled,Saarland,observed
2020-05-28,all,reported,7.05352521293298,modelled,Saarland,observed
2020-05-29,all,reported,6.75392372511624,modelled,Saarland,observed
2020-05-30,all,reported,6.4803708224149,modelled,Saarland,observed
2020-05-31,all,reported,6.25222379021034,modelled,Saarland,observed
2020-06-01,all,reported,6.07927180040588,modelled,Saarland,observed
2020-06-02,all,reported,5.95521314159578,modelled,Saarland,observed
2020-06-03,all,reported,5.86904259481116,modelled,Saarland,observed
2020-06-04,all,reported,5.8124608204721,modelled,Saarland,observed
2020-06-05,all,reported,5.77998127233741,modelled,Saarland,observed
2020-06-06,all,reported,5.76640287692226,modelled,Saarland,observed
2020-06-07,all,reported,5.76683690718255,modelled,Saarland,observed
2020-06-08,all,reported,5.77774361436968,modelled,Saarland,observed
2020-06-09,all,reported,5.79641137518456,modelled,Saarland,observed
2020-06-10,all,reported,5.81418296709944,modelled,Saarland,observed
2020-06-11,all,reported,5.81567530835355,modelled,Saarland,observed
2020-06-12,all,reported,5.79166227232008,modelled,Saarland,observed
